bbox,synapse_id,region,distance
bbox1,bbox1_non_spine_synapse_001,postsynapse,2.8682663440704346
bbox1,bbox1_non_spine_synapse_001,presynapse,6.276288986206055
bbox1,bbox1_non_spine_synapse_001,cleft,6.163153171539307
bbox2,bbox2_explorative_2024-08-28_Cora_Wolter_003,postsynapse,1.9740546941757202
bbox2,bbox2_explorative_2024-08-28_Cora_Wolter_003,presynapse,7.153454780578613
bbox2,bbox2_explorative_2024-08-28_Cora_Wolter_003,cleft,3.1498773097991943
bbox3,bbox3_non_spine_synapse_001,postsynapse,4.272674560546875
bbox3,bbox3_non_spine_synapse_001,presynapse,3.28851580619812
bbox3,bbox3_non_spine_synapse_001,cleft,1.890878438949585
bbox4,bbox4_explorative_2024-08-03_Ali_Karimi_001,postsynapse,3.987581729888916
bbox4,bbox4_explorative_2024-08-03_Ali_Karimi_001,presynapse,9.61499309539795
bbox4,bbox4_explorative_2024-08-03_Ali_Karimi_001,cleft,13.434511184692383
bbox5,bbox5_non_spine_synapse_001,postsynapse,2.426187038421631
bbox5,bbox5_non_spine_synapse_001,presynapse,6.4228739738464355
bbox5,bbox5_non_spine_synapse_001,cleft,1.497737169265747
bbox6,bbox6_non_spine_synapse_023,postsynapse,3.011704444885254
bbox6,bbox6_non_spine_synapse_023,presynapse,4.78538179397583
bbox6,bbox6_non_spine_synapse_023,cleft,0.7494205236434937
bbox7,bbox7_non_spine_synapse_001,postsynapse,3.696964740753174
bbox7,bbox7_non_spine_synapse_001,presynapse,5.0218095779418945
bbox7,bbox7_non_spine_synapse_001,cleft,3.490885019302368
